CPU usage,Memory,Disk Usage,Disk write speed,Disk read speed,Wi-Fi speed receive,Wi-Fi speed Send
1,23,45,45,345,544,345
11.9,83.6,91.3,0.0,0.0,0.0,0.0
8.9,83.6,91.3,0.0,0.0,0.0,8.0
12.0,83.7,91.3,0.496,0.0,0.0,8.0
14.4,83.8,91.3,0.496,0.0,0.0,0.0
12.9,83.7,91.3,0.0,0.0,0.0,8.0
7.8,83.8,91.3,1.0,0.0,0.0,8.0
11.4,83.7,91.3,0.032,4.312,0.0,8.0
7.3,83.7,91.3,0.0,0.0,0.0,0.0
8.6,83.7,91.3,0.496,0.0,0.0,0.0
12.1,83.7,91.3,0.0,0.0,16.0,8.0
12.8,84.0,91.3,0.216,0.0,0.0,3944.0
5.8,83.9,91.3,0.496,0.0,0.0,0.0
